anio,zone,is_zone_subset,indicador,valor,unidad,unidad_original,dimension,agregacion
2014,Nacional -- casas,True,valor_vivienda_pib,93.327610312914,%,% del PIB,tasa,promedio
2014,Nacional -- departamentos,True,metros_construidos,52508816.0,m2,millones de metros cuadrados,superficie,total
2014,Nacional -- departamentos,True,metros_terreno,36139004.447075,m2,millones de metros cuadrados,superficie,total
2014,Nacional -- departamentos,True,numero_propiedades,839942.0,unidades,propiedades,conteo,total
2014,Nacional -- departamentos,True,valor_construccion,37420825504795.0,pesos,miles de millones de pesos,dinero,total
2014,Nacional -- departamentos,True,valor_terreno,6739646179999.6,pesos,miles de millones de pesos,dinero,total
2014,Nacional -- departamentos,True,valor_vivienda,44160471684794.0,pesos,miles de millones de pesos,dinero,total
2014,Nacional -- departamentos,True,valor_vivienda_pib,29.847980152164,%,% del PIB,tasa,promedio
2014,Región Metropolitana,False,metros_construidos,141408298.5,m2,millones de metros cuadrados,superficie,total
2014,Región Metropolitana,False,metros_terreno,423782707.22672,m2,millones de metros cuadrados,superficie,total
2014,Región Metropolitana,False,numero_propiedades,1927497.0,unidades,propiedades,conteo,total
2014,Región Metropolitana,False,valor_vivienda,100806470284170.0,pesos,miles de millones de pesos,dinero,total
2014,Región Metropolitana,False,valor_vivienda_pib,68.134904575482,%,% del PIB,tasa,promedio
2014,Zona Centro,False,metros_construidos,90284257.5,m2,millones de metros cuadrados,superficie,total
2014,Zona Centro,False,metros_terreno,534459349.42225003,m2,millones de metros cuadrados,superficie,total
2014,Zona Centro,False,numero_propiedades,1306002.0,unidades,propiedades,conteo,total
2014,Zona Centro,False,valor_vivienda,34655199918057.0,pesos,miles de millones de pesos,dinero,total
2014,Zona Centro,False,valor_vivienda_pib,23.423384756998,%,% del PIB,tasa,promedio
2014,Zona Norte,False,metros_construidos,25066364.5,m2,millones de metros cuadrados,superficie,total
2014,Zona Norte,False,metros_terreno,70001593.80864601,m2,millones de metros cuadrados,superficie,total
2014,Zona Norte,False,numero_propiedades,365332.0,unidades,propiedades,conteo,total
2014,Zona Norte,False,valor_vivienda,17794447474077.0,pesos,miles de millones de pesos,dinero,total
