anio,region_id,region_display,indicador,medida,unidad,valor,unidad_original,dimension,agregacion
2011,05,Valparaíso,cuentas_corrientes,stock,unidades,206542.08333333334,número de cuentas de personas naturales,conteo,total
2012,05,Valparaíso,cuentas_corrientes,stock,unidades,217064.16666666666,número de cuentas de personas naturales,conteo,total
2013,05,Valparaíso,cuentas_corrientes,stock,unidades,231701.08333333334,número de cuentas de personas naturales,conteo,total
2014,05,Valparaíso,cuentas_corrientes,stock,unidades,247034.16666666666,número de cuentas de personas naturales,conteo,total
2015,05,Valparaíso,cuentas_corrientes,stock,unidades,263221.0833333333,número de cuentas de personas naturales,conteo,total
2016,05,Valparaíso,cuentas_corrientes,stock,unidades,280822.6666666667,número de cuentas de personas naturales,conteo,total
2017,05,Valparaíso,cuentas_corrientes,stock,unidades,299996.5,número de cuentas de personas naturales,conteo,total
2018,05,Valparaíso,cuentas_corrientes,stock,unidades,318906.1666666667,número de cuentas de personas naturales,conteo,total
2019,05,Valparaíso,cuentas_corrientes,stock,unidades,340433.6666666667,número de cuentas de personas naturales,conteo,total
2020,05,Valparaíso,cuentas_corrientes,stock,unidades,352923.5,número de cuentas de personas naturales,conteo,total
2021,05,Valparaíso,cuentas_corrientes,stock,unidades,370103.75,número de cuentas de personas naturales,conteo,total
2022,05,Valparaíso,cuentas_corrientes,stock,unidades,368938.5,número de cuentas de personas naturales,conteo,total
2023,05,Valparaíso,cuentas_corrientes,stock,unidades,392979.6666666667,número de cuentas de personas naturales,conteo,total
2024,05,Valparaíso,cuentas_corrientes,stock,unidades,419567.5833333333,número de cuentas de personas naturales,conteo,total
2025,05,Valparaíso,cuentas_corrientes,stock,unidades,426978.75,número de cuentas de personas naturales,conteo,total
2009,06,O'Higgins,cuentas_corrientes,stock,unidades,57675.166666666664,número de cuentas de personas naturales,conteo,total
2010,06,O'Higgins,cuentas_corrientes,stock,unidades,60285.416666666664,número de cuentas de personas naturales,conteo,total
2011,06,O'Higgins,cuentas_corrientes,stock,unidades,64446.833333333336,número de cuentas de personas naturales,conteo,total
2012,06,O'Higgins,cuentas_corrientes,stock,unidades,69550.25,número de cuentas de personas naturales,conteo,total
2013,06,O'Higgins,cuentas_corrientes,stock,unidades,75387.16666666667,número de cuentas de personas naturales,conteo,total
2014,06,O'Higgins,cuentas_corrientes,stock,unidades,81653.75,número de cuentas de personas naturales,conteo,total
2015,06,O'Higgins,cuentas_corrientes,stock,unidades,88272.41666666667,número de cuentas de personas naturales,conteo,total
2016,06,O'Higgins,cuentas_corrientes,stock,unidades,95025.25,número de cuentas de personas naturales,conteo,total
2017,06,O'Higgins,cuentas_corrientes,stock,unidades,101597.16666666667,número de cuentas de personas naturales,conteo,total
